texto,rotulo
"depende para qual uso. vi que quanto mais escuro e mais perto da parede mais nítido, mas para uma apresentação já deixa a desejar. as fotos no slide não dava para ver bem e nas laterais fica embaçado. melhor usar a letra na cor preta mesmo é mais centrado. pelo preço acredito que é isto não dá pra exigir muito!!",2
um excelente produto que comprei dando de presente à minha filha!!!,5
primeira qualidade muito bom exelente...................................................................,5
para os amantes de café é um produto indispensável!! é possível fazer varias bebidas de forma fácil e rápida. recomendo o produto.,5
"o celular nem bem chegou e nem funciona, fora o chip veio bloqueado ainda. devolução garantida.",1
"o filme é excelente , pena não ter o áudio em português, mais fora isto o filme vale a pena assistir.",3
"gostei, mas achei um pouco complicado para passar as informações e tive dificuldade para configurar.",3
"acabamento em isopor por dentro, frágil pra crianças um pouco maiores. deveriam especificar.",2
adorei o produto chegou certinho minha filha amou adora brinca nela,5
comprei o meu no dia 7 de fevereiro 2018 e recebi hoje( 03/02/18) antes do meio dia. super recomendo! o produto é muito bom! e parabéns a transportadora direct que foi muito rápida e o entregador foi muito simpático. tudo maravilhoso!!!,5
"muito bom, fiquei muito satisfeito, entrega rápida",4
"recebi os produtos sem lacre, com uma fita adesiva, cortada mão, tampando para não vazar. conheço a marca. é excelente. já usei shampoo e condicionador dessa marca, o balance para cabelo normal, comprados na sephora. foi o melhor shampoo e condicionador que já tinha usado. então fiz o este pedido para cabelos coloridos. estragou o meu cabelo. ficou avermelhado e muito seco, parecendo palha. cortei. não tinha respondido este e-mail ainda porque suspeitava que eram produtos falsificados e também não quis dar uma opinião negativa, sobre uma marca que considero ótima. como não tinha provas, calei e guardei os produtos para uma possível comparação, comprando em outro fornecedor. comprei senscience inner restore intensif que também não gostei e não veio lacrado. portanto, não estou usando nenhum desses produtos. vi na tv e internet que foram presas 18 pessoas de uma quadrilha que falsificava cosméticos, em franca e em cidades da região. vendiam pela internet e para todo brasil. enganavam consumidores e fabricantes. peço que chequem essa informação. agora posso dizer que os produtos que recebi provavelmente eram falsificados, tendo em vista que nunca comprei um produto tão ruim, quanto aos que recebi.",1
"muito ruim, não bate nem as furacões , a medida dele é menor, acabamento péssimo!!",1
"aparelho é bom. mas tomando por referência o valor vs configuração, já não é tão bom, porém é razoável.",3
muito bom estou satisfeita com o produto. excelente,5
"ela é muito boa, bonita, veste muito bem e o preço é ótimo... excelente custo benefício.... chegou muito rápido também....",4
"não recebi o produto é no app está constando q recebe ,já fiz reclamação por e-mail e pelo telefone . estou aguardando resposta sobre.",1
"amei o fogão exatamente o que queria, chegou antes do prazo, , todoc embalado intacto, chamas perfeitas ... nota 10 para o fogão e as americanas , fiquei em dúvida antes com os relatos mas o meu chegou perfeito e lindooo, recomendo brastemp é tudo de bom.",5
"devia vir com o driver de alguma forma, foi um parto achar na internet.",3
bateria não é removível e não tem entrada de disco rígido....em relação a entrega chegou antes da data...,2
alguém pode falar se ele tem flash na câmera frontal ?,4
"é importado da china, nem parece ser um mototora, nem tem como carregar!",1
"panelas de muito qualidade e praticidade, muita satisfação pela compra.",4
"minha filha comprou esse produto pra mim, veio com a lixa solta e não encaixava, foi pra troca e mandaram um outro, só que quebrado, faltando uma pecinha onde ficam as pilhas, resolvemos pegar o reembolso, nunca mais compro essa porcaria.",1
muito rapido e com design lindo. as fotos parecem cartão postal de tão perfeitas.,5
excelente produto!!!! recomendo!!!! comprei e chegou direitinho! foi uma excelente compra! estou mt satisfeita!!!!,5
"atendeu as expectativas, entrega efetuada antes do prazo previsto",5
"comprei o de 32gb, prazo de 15 dias úteis para entrega. já passou o prazo e nada. americanas alega q não tem o produto em estoque. se não tinha, pq vendeu? meu dinheiro ela aceitou. mas a entrega não foi feita. absurdo! preciso do aparelho. não recomendo o site.",1
"é um bom produto, mas soube que há um semelhante que teria mais um cortador",3
"aparelho de excelente qualidade com design superior ao antecessor. além de ter uma das melhores configurações do mercado, conta com uma ótima experiência com o android.",4
bom produto e de fácil uso. na verdade eu queria comprar um outro modelo. mas ao usar este fiquei satisfeito. recomendo.,4
"preciso saber como instalar, não reconhece minha rede wi-fi de jeito nenhum.....",2
"material com bom acabamento, resistente e fácil manuseio . porém a cordinha cujo nome (lembrete) que aparece na imagem, não vem inclusa na descrição o vendedor informa, mas deveria retirar também da imagem para evitar equivoco de propaganda enganosa .",4
"olá, o primeiro produto que recebi, a lousa, não gostei pois veio uma cor que não é a que aparece na imagem, o segundo produto, que é o livro, ainda não chegou quanto a lousa, entrei no site para solicitar a troca, mas não consigo ir para o link indicado para fazer a troca. gostaria de orientações para efetuar a troca.obrigada!!",2
produto atendeu a minha necessidade para estampar camisetas.,3
"produto horrível, na descrição diz ser original mas é uma imitação barata, de péssima qualidade. foi dinheiro jogado fora.",1
"depois do fiasco que foi o lançamento dos últimos 3 tablets de entrada da samsung, finalmente um produto razoável, porém muito caro. o galaxy tab e de 2015 foi lançado com android 4.4, o tab a de 2016 com android 5.1 (defasado em 3 anos) e o tab a 2016, de 8"", tem uma configuração inferior ao tab a de 7""(t285) e ainda assim custa quase o dobro do valor. a samsung se perdeu nos preços, na versão do android, no processador (spreadtrum), enfim, quase enterrou a divisão de tablets e perdeu espaço para a multilaser que lançou um produto bem razoável, de 10"", custando 600 reais. fico me perguntando: quem em sã consciência pagaria 1.250 reais no tab a de 2016 (tela de 8"")?!? esse vai encalhar nas prateleiras e, misteriosamente, o preço não cai. por sua configuração compatível com celulares da samsung (como o galaxy j7 de 650 reais cujo processador é melhor e conta com tela gorilla glass) o tablet galaxy tab a, 8"", 2017 não pode custar mais que 750 reais. em termos de configuração, a principal diferença entre ele e o j7 é apenas o tamanho da tela, mas apenas isso e o processador inferior não justificam um preço tão mais elevado. sobretudo porque em tudo um tablet é inferior a um celular (e costumam apresentar muitos defeitos). além disso, esse produto é comercializado por 189 dólares no varejo dos eua, ou seja, 600 reais sem os impostos. em resumo, 750 reais no brasil é um preço mais que razoável para um tablet de entrada.",3
comprei uma panela desta usei só uma vez e não presta mais tá parada joguei dinheiro no lixo. aff,1
"chegou bem antes do esperado,obrigada e o livro chegou em boas condições, sempre compro c vcs,pois sei q a entrega é certa",5
"o produto veio todo certinho, sem nenhuma avaria. ficou lindo após a montagem e eu estou muito satisfeita.",5
a compra foi ótima. gostei do processo. muito rápido.,4
"superou minhas expectativas, produto muito bom! recebi muito rápido também.",4
"produto já veio com defeito, não funcionou, provavelmente já veio queimado.",1
recomendo a compra pois tem tecnologia boa atende ao que eu preciso; preço bom e a entrega foi rápida .,3
usei pouco mais dá pra perceber que o produto é de qualidade. entrega no antes do prazo,4
"prático para o uso diário no café da manhã e no lanche,",3
"é um produto vários em um, quatro potências de luz/lumens, mais função cabeça e capacete, farol para bike, com carregador de baterias. vale o custo. parabéns !!!",3
bom gostei muito do produto chegou antes do prazo informado bem embalado e recomendo as pessoas que buscam praticidade no seu dia a dia sempre faço excelentes compras aki.....,5
muito pequeno pelo valor parece uma miniatura nao gostei,2
"guarda roupa super lindo.. o meu deu um acabamento perfeito, ótimo custo benefício.. só a entrega que demorou um pouco... mais valeu a pena esperar.. recomendo.",5
"material resistente, ótimo espaço. minhas filhas adoraram.",5
"supreendeu -me. insisti em comprar mesmo com avaliações negativas ,faz 10 dias que comecei a tomar e já sinto muita diferença qdo coloco minhas roupas e as pessoas notam tbem que estou emagrecendo. pra mim controlou sim, a ansiedade e a fome. recomendo",5
os produtos da samsung são fantásticos. o s8 é um celular acima dos padrões. show de bola. recebi o produto antes do prazo estabelecido.,5
"esperava um pouco mais das câmeras, tanto frontal com traseira, porém estou satisfeito, com o produto e como sempre satisfeito também com o prazo de entrega, que sempre chega antes do prazo.",4
"a película é de vidro, de fato, mas não cobre as beiradas; fica apenas no meio.",1
"roubaram meu carro e com ele as cadeirinhas, pensei em comprar outra mais em conta, mas pensei em como meu filho fica confortável nela e optei pela mesma que tinhamos. única coisa que eu acho ruim é para regular o cinto dela! recomendo!",5
"processa o cafe muito rápido,desliga automático e ainda mantem o cafe bem quente por 1h,como informado no manual.sem contar,que a temperatura do cafe eh diferente das que ja tive,pois essa é bem quente mesmo.excelente produto.",5
"eu comprei achando que o perfume era esse da foto, com esse frasco com desenho, inclusive já tive um assim. parece que não é original. trocou a embalagem?",2
adorei super recomendo;) ♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡,5
"durante o jogo a tela fica toda preta e não tem como jogar, sendo necessário reiniciar o jogo.",1
"horrivel ao gostei e nao recomendo, so tive problemas o tapete é de pessima qualidade parece um pano",1
"achei confortável,design grande,pelo numero ser 34 não ficou apertado,ajustou perfeitamente aos meus pés.",3
"péssimo a foto nao e do produto, estao enganando os clientes, o tapete é um outro horrivel.",1
"o tapete nao e igual o da foto to muito instisfeito enganam o cliente pessimo produto, me entregaram um lixo nem parece tapete",1
"o tapete que mostram é esse da foto mas não é igual, nem se compara, horrível, me entregaram em um saco plastico, péssimo vergonhoso",1
um dos jogo mais esperado de 2018 estou louco p jogar spider man ps 4,5
produto muito bom . entregue antes do prazo. atende todas as minhas expectativas. indico para outros clientes.,4
nova obra prima de villeneuve. imperdível e impressionante produção.,5
"apenas o produto veio com o tamanho errado.é para um menino de 6 anos e o que recebi é para adolescente.gostaria de fazer a troca.já havia comunicado anteriormente êsse problema, ficaram de resolver e até o momento não me deram resposta.",1
recebi o produto em tempo record. faltando 20 dias para a data prevista. meu filho amou.,4
"as peças são muito fininhas e frágeis, parece um quebra cabeça de loja de 1,99, bem fraquinho",2
boa compra. chegou rápido e dentro das especificações.,4
"comprei esse produto por ser kid, para minha filha de 3 anos. acontece que o produto é de difícil manuseio, a internet não fixa, ela não consegue ver nenhum vídeo por inteiro. enfim... estou arrependida.",1
"já fiz reclamação sobre o produto com defeito mas não estou tendo resposta, não estou tendo retorno para troca",3
"excelente, estou muito satisfeito com o tênis !!! eu recomendo",5
"recomendo empresa séria,produto chegou antes do prazo estabelecido e com qualidade",4
"aparelho bom , porem a pioneer tem que melhorar em questão de muitos travamentos (lento) e ao espelhamento",2
"depois que pega o jeito, você passa a querer jogar até o final!",5
"amei o elástico extensor, conforme o esperado: ótima qualidade, e a entrega foi super rápida, obrigada americanas pela agilidade, pois fiz o pedido no dia 01/02/2018 e recebi na tarde do dia 03/02/2018.",4
a minha durou um mês dinheiro jogado no lixo péssima qualidade ela estou quando estava usando,1
comprei pelo site americana mim enviaram um produto replica não tem selo da anatel estou pagando o valor de um original fui reclamar pra americana eles sempre cancelam meu contato e mim envia e-mail dizendo q o prazo pra reclamar expirou eram só de 7 dias mais na hora da compra eles não explicam isso quem estar no prejuízo sou eu e ainda tenho q terminar de pagar as parcelas e não tenho uma solução então é furada comprar produto na americana.com .,1
"comprei essa smartv 4k imaginando que ela teria a função de espelhamento do notebook para a tv pois as smartvs anteriores tem essa tecnologia, então a sansung tirou esse recurso para colocar o smart view que é um app que não tem finalidade nenhuma, estou bastante decepcionado com o produto e nunca mais comprarei uma tv da sansung.",1
"não da o 'efeito cílios postiços' como prometido, não dá volume! deveriam trocar o nome que não condiz com o produto! mas no geral ele e muito bom! é a prova d'água de verdade, não borra! ótimo pra usar no dia a dia! recomendo!",4
"dei de presente a uma amiga, ela adorou achou lindo, até agora não houve queixas",3
"trata-se de uma compra de produto já testado anteriormente, e por este motivo repetimos a compra, agora para presentear outra pessoa.",5
"comprei o produto a um mês e até agora não recebi, alegaram que não tinha no estoque, que isso e aquilo e até agora nada. nem se quer dão uma satisfação! quero meu valor de volta.;",1
"ótimo produto, silencioso, versátil,tem dois cabos para tomada e carro , e são grandes a única coisa de negativo que ele não é portátil , coloquei garantia estendida de um ano, avaliação de três dias de uso .",4
"se pudesse gostaria de ter meu dinheiro de volta, não coa café corretamente, vaza pó por todo lado, e nunca faz a mesma medida para as duas xicaras, só usei uma vez e não usarei mais, dinheiro perdido",1
"ainda não recebi o produto, gostaria de saber o motivo da demora esta de mais. aguardo resposta urgente!",1
"o galaxy on7 é um bom smartphone, não trava e sua bateria é boa, o problema é que demora muito para carregar, e este aparelho não é muito bom para jogos pois o processador é básico, más resumindo o produto é bom e supre as necessidades básicas do dia a dia, obrigado americanas pela entrega e pelo produto que veio embalado perfeitamente !",3
"adorei o produto! recomendo a todos o produto, uma otima aquisição.",4
quero meu dinheiro de volta. essa selagem é falsificada,1
"não funciona. o driver que vem no mini cd não faz reconhecer, não detecta movimento como dvr. nenhum software reconhece a placa. é puro lixo, dinheiro jogado fora.",1
"comprei essa pasta na loja contabilista aqui na americanas.com.... porem veio outro modelo sem os quadradinhos... (ambos os modelos sao bons, mas se vc quer a de quadradinhos como eu queria fique atento talvez nao venha desse modelo pela contabilista... melhor entrar em contato antes)",5
em menos de dois meses de uso sumiram os marcadores de temperatura e quebrou o anel cinza que envolve a peça para mudar a temperatura.,1
"pelo fato de não entregar no endereço, posso estar retirando?",5
"amei meu tapete, qualidade muito boa gostei bastante, realmente original igualzinho a foto, parabens pela rapidez na entrega 2 dias só fique surpresa. parabens",5
"amei meu tapete, qualidade muito boa gostei bastante, realmente original igualzinho a foto, parabens pela rapidez na entrega 2 dias só fique surpresa. parabens",5
"muito ruim a qualidade desse produto, não gostei e nao recomendo a ninguem, veio em péssimas condicoes nem sequer tem embalagem, emfim um despreso. não compro mais.",1
"nao recomendo, o tapete e ruim, com 2 dias de uso ja embolou todo pelo, so perdi tempo e dinheiro. nao recomendo.",1
"não podemos exigir muito do produto, pelo preço, mas, a fábrica deveria ter o cuidado de proteger ao menos os cantos, ou quinas, principalmente das peças maiores. apesar de totalmente embalado, ao desembalar as peças grandes já vieram com as pontas comidas e totalmente avariadas. faltou também um colante para cobrir o a cabeça do parafuso. pelo visto o controle de qualidade é falho. após montado o produto ganha alguma resistência, mas, não aguenta muitos livros, então a palavra ""livreiros não cabe a este móvel. é excelente para pelúcias ou objetos leves, mas, livros, ao serem alocados (arcados), abaloam o centro das prateleiras ferindo a estética que fica nitidamente prejudicada, além do estrese ao material da prateleira. a prateleira do meio não é forrada na parte de baixo, o que fica a mostra quando uma pessoa senta-se próximo ao móvel. uma economia que afeta a originalidade do móvel. não tem cabimento as prateleiras serem forradas nos dois lados e a do meio ser forrada apenas na parte de cima. as prateleiras superiores não suportam livros em pé, somente deitados, mas, a fábrica poderia dispor mais pinos para ajustar as prateleiras de forma a eleva-las para que livros pudessem ser alocados em pé, e não deitados. enfim, acabou decepcionando por não atender como ""livreiro"" que era o fim a que se destinava a compra. enfim, se você vai usar para livros, esqueça!",2
"difícil de montar, tem que ler o manual, mas é muito seguro e ajuda muito na questão do angulo da imagem. recomendo",5
"o aparelho é mt bom só não recomendo a transportadora pq roubaram o celular lá dentro e tiveram q enviar outro, mas chegou no prazo, acho q a americanas .com deveria ver uma transportadora de confianca",3
fiquei decepcionado com a qualidade e duração da bateria,1
só gostaria de saber onde fica a luz noturna no relógio ? qual botão ? obrigada,3
"entrega super rápida, manual prático, e efeito muito bom. satisfeita!",4
"por favor eu gostaria de saber se vcs tem previsão de quando vai chegar mais para o estoque, quero comprar um",4
"meu deus!!!! tenho mais de uma opinião pra elogiar!!!! 1) a entrega estava prevista pro dia 19/02 e já recebi!!!!! 2) a mochila é de um material excelente, grande, mas, no tamanho certo!!!! couberam nela todos os materiais da minha princesa que ficou com os olhinhos brilhando ao vê-la cheia!!!!",5
"podem comprar, não vão se arrepender! não só eu , mas meu filho tbm!",5
comprei achando que o produto não fosse dos melhores... mas na verdade... é dos piores.... o forro é plástico... do mais vagabundo.... a rodinha ... se olhar prá ela quebra dentro unindo o forro ao material da mala não tem costura e sim um zíper sem cursor... já vem abrindo... é descartável....,1
"o produto não me pareceu ser original, desde a embalagem, não tem o selo marca d'agua e a fixação não é o mesmo do comprado nos eua.",2
"a cama é linda como na foto, simples de montar, porém o estrado é frágil. a entrega foi feita bem antes do prazo. minha filha amou a casinha os desenhos são de ótima qualidade!",3
satisfeito. produto muito bom. recomendo a todos entrega muito rapida,5
eu tinha um iphone e então mudei por um momento para este e estou adorando meu investimento..,5
o produto é ótimo só que não recebi a nota fiscal,3
"qualidade de som e imagem muito abaixo para um tv que diz ser ultra hd 4k, qualidade no máximo hd, apenas compensa o preço pelo tamanho e por ser smart.",2
"cadeirinha confortável, ótimo material e muito segura. infelizmente fizemos esse teste, sofremos um acidente e minha filha ( que estava na cadeirinha) não teve nenhum ferimento.",5
gostei muito do produto. super satisfeita. chegou antes do prazo.,5
"o produto chegou dentro do prazo (no último dia). o que acho de negativo é que não vem manual, mesmo a montagem do plugue desmontável ser simples... e a parte da configuração deveria vir na própria caixa ou no aparelho, como me grande parte dos roteadores. recomendo o produto e aproveito para compartilhar o processo de configuração, que deve ser feito conectando o cabo entre o aparelho e um pc já conectado à internet: digitar esse endereço 192.168.10.1, de preferência com o navegador mozilla, username: admin, login: admin - logo após vai aparecer na tela a opção de repetidor ou ap, selecione a opção desejada e depois a rede que será replicada. digite a senha e depois o ícone aplicar. é bem simples. sugestão às lojas americanas e às lojas que distribuem o produto: coloquem essas instruções de configuração já que o equipamento não vem com manual!!!",4
"adorei a fralda, não vaza, tem o toque suave, ótima experiencia com a nova huggies.",5
"pelo custo, é um bom tablet. entretanto, a duração da bateria deixa muito a desejar.",3
já perdi o cancelamento e a troca estou aguardando respostas.,1
recomendo produto muito bom mesmo.entrega rapida alem do esperado,4
a bicicleta é boa para um passeio bem curto e pessoa bem leve. as peças são de aparência muito frágeis e a montagem não é tão simples devido algumas chaves não ser fácil de encontrar.,2
este celular parece ser muito bom ele lindo as cameras sao perfeitas,5
"eu já tinha feito a compra em uma loja concorrente,porem ela chegou toda quebrada e eu me chatiei,fui na americanas e fiz a compra da mesma cama,alem de mais barata chegou tudo perfeito,sem nenhum arranhão,e bem antes do prazo.. parabéns americanas!!",4
"comprei 05 unidades, porem 01 veio com defeito. solicitei troca e ate o momento não tive retorno.",3
com 2 anos e meio tive que trocar.a espuma fez um buraco nas laterais deixando o colchao muito desconfortavel.,1
"o adaptador tem a função da qual foi projetado. bom acabamento com boa qualidade, afinal, dell dispensa comentários.",5
entrega bem rápida. produto atende as expectativas. recomendo.,4
"tamanho da peça, não tem na descrição. gostaria de saber.",2
como irei ter garantia do produto sendo que só faz 1 vez só no cartão ....,2
além do produto ter uma ótima qualidade tem um ótimo preço e ainda chegou antes do prazo,5
perfeito amei... câmera é ótima tanto frontal como a câmera traseira...amei o celular..,5
"atendeu as expectativas, produto fácil de manusear e limpar. têm boa potência e aparentemente é resistente, apenas os acessórios em acrílico que parecem um pouco frágeis. a entrega foi ágil e antes do prazo. recomendo.",5
adorei!! superou mi has expectativas °•° pipoca sequinha toda hora!!,5
"nunca fui de deixar avaliações, porem ao buscar informações sobre este produto não encontrei nenhuma informação útil. eu comprei o meu aqui na americanas, chegou hoje dentro do prazo. eu estou satisfeita com a minha compra. não sei se é o ideal para um salão, mas para quem buscar secador para uso em casa eu acho que ele atende tanto quanto os secadores da taiff. achei a saída de ar dele pequena, mas não interferiu no resultado. ele esquenta bastante e a velocidade é satisfatoria. o custo benefício eu não sei informar, já que comprei ele por um preço promocional bem atraente e agora ele está mais que o dobro aqui na americanas.",4
"produto confortável, ajusta bem ao bebê e não machuca e raramente dá alergia.",4
"desenhos totalmente diferentes dos que constam no anuncio, e o produto aparenta ser de qualidade bem inferior. só não vou devolver devido a burocracia e minha necessidade do produto. não compraria novamente.",2
"adorei o produto, e chegou bem antes do previsto, recomendo a todos",5
"acabou de chegar o que comprei para meu filho,eu simplismente amei ,veio embalando nem digo só com carinho,sim com amor ,veio mto bem embalado e pra completar ainda veio perfumado . amei ,obrigada pelo carinho e delicadeza .",5
"sério. até ia comprar mas com tanta avaliação ruim dizendo que não funciona, desisti.",1
na minha opinião deixa muito a desejar. péssimo distribuidora.,1
estou procurando o campo de perguntas para solicitar o modelo que quero. como faço? não encontrei em lugar nenhum.,3
produto atendeu minhas expectativas em relação a facilidade de instalação e excelente qualidade de imagem. recomendo a compra !,5
"cade a dranagem de agua automatica pelo botao ? eu comprei e nao veio , so veio 1 botao , cade o outro ?",2
"entrega rápida, gostei muito do produto, recomendo a loja e o vendedor.",4
"ótimo produto e a entrega antes do previsto, valeu super a pena.",4
muito bom ventilador .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................eu indico.,5
prodoto perfeito muito bom fácil manuseio recomendo.,4
excelente custo/benefício para uma marca desconhecida (pelo menos para mim).,4
o produto veio sem a caixa e não é o ageless original. eu e minha família sempre compramos aqui no site americanas. mas não confio mais nesse site. pois fiz a reclamação e nada foi feito.,1
"chegou rápido, estou gostando do celular, ele é bonito e com um bom material.",5
"excelente compra. entregaram muito rápido. previsão de entrega para 22/02/2018. entrega feita em 06/02/2018 (ontem). liguei ontem à noite e ao que tudo indica, está gelando bem. a geladeira é também muito bonita. recomendo.",5
"comprei duas, pois tenho gêmeos, eles amaram, produto de boa qualidade, a bandeira e removível, o que facilita muito, o cinto prende bem na cadeira, e tem cinto de segurança para o bebê, recomendo",5
pinos do carregador não são compatíveis com o padrão nacional e não possui selo da anatel.,1
"comprei o celular dia 24/01 pagando pelo frete para recebimento mais rápido, o que não aconteceu, transportadora é horrível, não cumpre com nada que promete, sobre pagar o frete? não vale a pena! hoje dia 07/02 ainda não recebi meu celular, motivo chuvas torrenciais, engraçado que não sabia que a entrega era feita de jegue e assim correndo o risco de se molhar!",2
recomendo que me devolvam o dinheiro e me mande uma carta pedindo desculpa pela lixo que eu comprei. sacanagem e enganação. nao sei como a americanas deixa oferecer um produto de lixo como isso ai...lixo lixo lixo isso parece uma meia velha mesmo...alguem ja falou isso ai embaixo..lixo,1
"aparelho de qualidade,vale cada centavo................................................................................................................................................................................................................................................",5
a mochila é pequena e acabamento frágil. não coloquem muito peso pois ela pode rasgar fácilmente...,1
"super satisfeito com o produto, leve, tela ampla e fácil navegabilidade.",4
"muito bom produto chegou no tempo certo, recomendo.",5
"gostei muito, já tinha usado antes e recomendo. aprovado.",4
gostei muito gostei gostei gostei muito do produto,5
só não posso opinar se é um produto bom porque ainda não usei! mas é muito bonito!,3
"produto muito bom, foi entregue dentro do prazo estipulado",5
"o aparelho é muito bom, rápido, excelente câmera, muita memória para armazenamento e ainda tem a opção dos moto snaps para agregar outras funções ao aparelho.",5
acredito que este celular vá me atender plenamente.,4
"muito bom, ótima qualidade, tem vvarias funções, a câmera é boa, e tem boa memória",5
"atendeu minhas necessidades, imagem excelente, entrega no período estimado.",4
minha filha esta em uso com a calculadora mas até agora não tenho o que reclamar,5
o livro história legal. mais a qualidade ruim. pequeno.,2
"com certeza, um dos melhores filmes, que eu assisti. tenho toda a coleção, produtos do qual não me arrependo em adquirir. super recomendo, para todos!",5
"produto maravilhosoooo , funcionando perfeitamente bem até o momento. chegou antes da data .",4
"pelo preço que paguei, superou minhas expectativas, ficou muito bem na minha sala. bem confortável pra ficar horas assistindo tv.",3
aparentemente é original e tem uma boa fixação ....gostei,4
"produto chegou antes da data prevista, eu confio no site.",5
"produto excelente qualidade, superou as minhas expectativas.",5
"preço bom para um produto de excelente qualidade, adorei tudo e a entrega super rápida",5
"produto frágil, de má qualidade, uma das rodinhas auxiliares quebrou com menos de 2 semanas de uso, catraca da corrente é de plástico, desgasta com facilidade. produto de baixa qualidade, não recomendo. pós venda horrível, até o momento estou tentando falar com o fabricante pra ver a garantia da rodinha, porém não consigo entrar em contato.",1
"após várias pesquisa escolhi esse notebook por três motivos principais, além do preço promocional: 1º) ele tem espaço para adicionar um ssd padrão m.2 2280 (assim, não é preciso tirar o hd); 2º) memória de 8g; 3º) portas usb, inclusive do tipo c (vi na concorrência notebook sem usb do lado esquerdo. no geral é muito bom. não tem tela full hd mas seu monitor é bom. . as primeiras inicializações são lentas, principalmente por causa das várias instalações de atualizações do windows. depois das atualizações passou a iniciar normalmente, mas nada de extraordinário. quando instalei o ssd e coloquei o windows no ssd, o sistema passou a funcionar igual uma bala. muito rápido!!! e ainda tem a vantagem do espaço do hd. não sou de jogar em computadores por isso não saberia dizer como ele se sai com games. enfim recomendo, principalmente se adicionarem um ssd.",4
o copo do liquidificador e da jarra do suco é de um acrílico muito fraco. fácil de quebrar.,2
"faz 40 dias que comprei produto maravilhoso mas paguei 1,090,00 agora está 1,299,00 se melhorar esse preço compro outro hoje",5
"mesmo sendo o frete grátis, chegou muito antes do previsto e o celular é leve com designer lindo, ótimo",5
"produto de boa qualidade, no entanto a foto ilustra a tampa da gaveta e do aéreo central sendo uma tonalidade marrom escuro, no entanto o produto veio com todas as tampas claras conforme as demais da fotografia, o produto é muito bonito mas não condiz com o anuncio.",1
"comprei o kit da suspensão, e no site so tem a foto do produto e não indica que é apenas para um amortecedor, sendo que o carro tem dois amortecedores dianteiros, ou seja, vc compra pensando que vai receber kit completo para dois amortecedores, acho que a empresa do produto deve colocar a foto do produto de um kit, e colocar observação, preço para unitario kit e a quantidade de cada um que esta sendo vendido, e atentar para que se precisar de dois produtos colocar na caixa o numero dois para compra de dois kits. desanimardorrrrrr, comparando preços achei o par de kits completo por menos de r$ 250,00 , agora tenho que comprar mais um kit e esperar ainda a entrega do produto, fora isso o produto é de boa qualidade. affffffffffffff...",1
"acabei devolvendo todo o aparelho de jantar!! veio todo desbotado, com manchas escuras em volta das peças. e por fim, estão me reembolsando apenas r$ 415,00, sendo que o valor do aparelho é r$ 429,99 !!!",1
"é um purificador bom, dependendo de sua necessidade, mas se você espera tirar mais de três copos gelados recomendo outros produtos, a vazão de água é pouca e o barulho que ele faz para gelar a água pode incomodar. a purificação da água é excelente, pelo valor eu recomendo.",3
"microondas panasonic já tive dois, muito bom recomendo, mas pagar r$ 219,98 de frete, esperar 20 dias para chegar, isso é o cúmulo do absurdo, sendo que o microondas custa r$ 299,90, o valor do frete, quase compra outro microondas, será que eles não analisou isso, sinceramente, não estou entendendo.",5
gosto muito ruim. o sabor é muito artificial.........,1
demora na entrega... produto muito básico/simples.,1
"comprei esse dvd, e me arrependi muito, produto muito mal produzido, vídeos em péssima qualidade, a track list na contracapa está diferente do que roda no dvd! produto extremamente amador! não comprem!",1
"os dois filmes , são excelentes, gostei muito da entrega ,top",5
"comprei esse filtro ta escrito na descrição que serve para p11x comprei mas não cabe no meu purificador o q faço agora,??",1
"usei o produto quatro dias,apresentou defeito no botão acionador de água gelada solicitei a troca e até o momento não tive resposta.",1
"é um produto de ótima qualidade, chegou bem, até antes do previsto",4
"péssimo produto, imitação barata do carregador original, não entendo como uma loja como as americanas faz intermédio com uma loja dessas.",1
só um detalhe que não sabia.. esse pneu e pra rodar em lugares de extremo frio... pode não durar muito pra nós no brasil. fiquei sabendo disso depois.. entregaram com muita rapidez.,3
"estou com dúvida, pois tem duas informações- a princípio fala que é 4 cadernos espiral capa dura colegial 1 matéria west village metalizado - 80 folhas, mas nas informações do produto tem outra informação dizendo que são 160 folhas divididos em 8 matérias. qual informação está correta, 4 cadernos de 1 matéria com 80 folhas ou 1 caderno de 8 matérias com 160 folhas ?",2
o produto é ótimo recomendo e a entrega foi comprida no prazo,5
"adorei o cel, chegou antes do prazo previsto, super recomendo",5
"produto muito bom, chegou antes do prazo... super indicoooo...as americanas está de parabéns",5
relogio casio tem tamanho médio varias funções recomendo pode comprar sem medo entrega exrlente parabéns amerucanas,5
amei produto de qualidade entrega como sempre no prazo parabéns americanas.,5
"carrinho lindo , enorme maravilhoso chegou com 6 dias top top",5
meu pequeno adorou kkk tanto que fica o dia todo brincando!!! eu feliz pq com ele brincando limpo minha casa!,4
"produto foi entregue com manual em quatro idioma, nenhum na língua portuguesa, desrespeitando o codigo do consumidor o art. 31 do cdc para a apresentação de informações corretas, claras, precisas, ostensivas e em língua portuguesa.",2
"adorei o produto, deixa o cabelo macio e hidrata bastante.",5
